51 6
178	178.25	176.34	176.68	12417713	177.52
175.21	177.74	174.52	176.82	27825140	178.25
172.8	176.3	172.45	176.21	38426060	177.74
178.54	179.775	172.66	175	48706170	176.3
179.26	180.615	178.05	178.12	37568080	179.775
179.1	180.48	178.16	178.39	38885510	180.615
176.35	179.39	176.21	178.97	37353670	180.48
173.67	175.65	173.54	175.5	33772050	179.39
171.8	173.95	171.71	172.5	30953760	175.65
172.83	174.12	171.01	171.07	37378070	173.95
172.05	174.26	171.42	171.85	33690660	174.12
172.36	174.82	171.77	172.43	40113790	174.26
169.79	173.09	169	172.99	50908540	174.82
163.045	167.54	162.88	167.37	40382890	173.09
161.95	164.75	161.65	164.34	32483310	167.54
158.5	163.89	157.51	162.71	60774900	164.75
157.07	157.89	150.24	156.41	70583530	163.89
160.29	161	155.03	155.15	54145930	157.89
163.085	163.4	159.0685	159.54	51467440	161
154.83	163.72	154	163.03	68171940	163.4
159.1	163.88	156	156.49	72215320	163.72
166	166.8	160.1	160.5	85957050	163.88
167.165	168.62	166.76	167.78	44453230	166.8
166.87	168.4417	166.5	167.43	32234520	168.62
165.525	167.37	164.7	166.97	45635470	168.4417
170.16	170.16	167.07	167.96	50565420	167.37
172	172	170.06	171.51	39075250	170.16
174.505	174.95	170.53	171.11	41438280	172
177.25	177.3	173.2	174.22	51368540	174.95
177.3	179.44	176.82	177.04	32395870	177.3
177.3	177.78	176.6016	177	27052000	179.44
178.61	179.58	177.41	178.46	31306390	177.78
179.37	180.1	178.25	179.26	31087330	179.58
176.15	179.25	175.07	179.1	34260230	180.1
177.9	179.39	176.14	176.19	29512410	179.25
176.18	177.36	175.65	177.09	25302200	179.39
174.59	175.4886	174.49	175.28	18653380	177.36
173.16	174.3	173	174.29	23751690	175.4886
174.55	175.06	173.41	174.33	21532200	174.3
174.35	175.61	173.93	174.35	20523870	175.06
173.44	175.37	173.05	175	23589930	175.61
172.54	173.47	172.08	173.03	22342650	175.37
172.53	174.55	171.96	172.23	29461040	173.47
170.16	172.3	169.26	172.26	25400540	174.55
170.52	170.59	169.22	169.23	25938760	172.3
171	171.85	170.48	171.08	16412270	170.59
170.1	170.78	169.71	170.6	21477380	171.85
170.8	171.47	169.679	170.57	33113340	170.78
174.68	175.424	174.5	175.01	16339690	171.47
174.17	176.02	174.1	175.01	20848660	175.424
174.87	175.42	173.25	174.35	23451420	176.02
